,SP,WT,,sp,,,,,,wt,,,,
1,104.1853528,28.7620589,,169.5985128,,,,,,52.99775236,,,,
2,105.4612635,30.46683298,,167.9444604,,,,,,44.01313857,,,,
3,105.4612635,30.19359657,,164.5985128,,,,,,43.3909885,,,,
4,113.4612635,30.63211391,,158.3006687,,,,,,43.35312292,,,,
5,104.4612635,29.88914864,,151.5985128,,,,,,42.77821864,,,,
6,113.1853528,29.59176832,,150.5765794,,,,,,42.61869847,,,,
7,105.4612635,30.30847957,,143.3926389,,,,,,41.57397476,,,,
8,102.5985128,15.84775807,,139.8408174,,,,,,40.72283115,,,,
9,102.5985128,16.35948352,,135.3926389,,,,,,40.58906845,,,,
10,115.6452041,30.92015417,,133.6802225,,,,,,40.47204238,,,,
11,111.1853528,29.36334142,,133.4159845,,,,,,40.39816357,,,,
12,117.5985128,15.75353468,,133.3123415,,,,,,40.15948186,,,,
13,122.1050553,32.81359241,,133.1400738,,,,,,39.42309899,,,,
14,111.1853528,29.3784363,,132.864163,,,,,,38.06282335,,,,
15,108.1853528,29.34727902,,132.4846092,,,,,,37.97995604,,,,
16,111.1853528,29.60452658,,130.2086984,,,,,,37.92311321,,,,
17,114.3692933,29.5357836,,128.4612635,,,,,,37.86041143,,,,
18,117.5985128,16.19412154,,128.128401,,,UUF,165.0350183,,37.66287367,,,UUF,61.24030026
19,114.3692933,29.92939368,,127.909442,,,,,,37.62069475,,,,
20,118.4729364,33.51697417,,126.5985128,126.5014123,,UPF,145.7682153,,37.57328965,37.48290704,,UPF,49.36160365
21,119.1050553,32.32464971,,126.4043117,,Q3,,,,37.39252442,,Q3,,
22,110.8408174,34.90821127,,126.0481035,,,,,,37.25439197,,,,
23,120.2889958,32.6758277,,125.3123415,,,,,,37.14173328,,,,
24,113.8291446,31.83712236,,124.7152409,,,,,,37.04235003,,,,
25,119.1853528,28.78172789,,122.1050553,,,,,,36.88815313,,,,
26,114.5985128,16.04317492,,121.864163,,,,,,36.49861738,,,,
27,120.7605199,38.06282335,,121.8408174,,,,,,35.54935984,,,,
28,119.1050553,32.83506939,,121.3926389,,,,,,35.02717556,,,,
29,99.56490661,34.4832075,,120.7605199,,,,,,34.94861469,,,,
30,121.8408174,35.54935984,,120.4043117,,,,,,34.90821127,,,,
31,113.4846092,37.04235003,,120.2889958,,,,,,34.4832075,,,,
32,112.2889958,33.23436141,,119.9211148,,,,,,33.91005598,,,,
33,119.9211148,31.38004084,,119.1853528,,,,,,33.51697417,,,,
34,121.3926389,37.57328965,,119.1050553,,,,,,33.45847152,,,,
35,111.2889958,32.701644,,119.1050553,,,,,,33.43671117,,,,
36,115.0130851,31.9112234,,118.4729364,,,,,,33.23436141,,,,
37,114.0933825,28.75400008,,118.2889958,,,,,,33.21395395,,,,
38,116.909442,27.87991549,,118.2889958,,,,,,33.07863163,,,,
39,116.909442,28.63050247,,118.2889958,,,,,,32.83506939,,,,
40,128.4612635,30.11543403,,118.2889958,,,,,,32.81359241,,,,
41,116.3926389,37.39252442,,118.2086984,118.2086984,Q2,IQR,12.84453535,,32.73451818,32.73451818,Q2,IQR,7.919131075
42,115.7488471,35.02717556,,117.6685497,,,,,,32.701644,,,,
43,117.4612635,30.52742698,,117.5985128,,,,,,32.6758277,,,,
44,114.0933825,28.34397592,,117.5985128,,,,,,32.62191589,,,,
45,114.3809661,33.07863163,,117.4612635,,,,,,32.32464971,,,,
46,117.1050553,32.62191589,,117.1050553,,,,,,31.9112234,,,,
47,118.2086984,36.49861738,,116.909442,,,,,,31.83712236,,,,
48,116.4729364,33.91005598,,116.909442,,,,,,31.38004084,,,,
49,127.909442,28.07059654,,116.4729364,,,,,,30.92015417,,,,
50,118.2889958,33.45847152,,116.3926389,,,,,,30.63211391,,,,
51,118.2889958,33.21395395,,115.7488471,,,,,,30.61528334,,,,
52,118.2889958,33.43671117,,115.6452041,,,,,,30.52742698,,,,
53,120.4043117,40.39816357,,115.5765794,,,,,,30.46683298,,,,
54,143.3926389,37.62069475,,115.0130851,,,,,,30.30847957,,,,
55,135.3926389,37.25439197,,114.5985128,,,,,,30.19359657,,,,
56,126.4043117,40.58906845,,114.3809661,,,,,,30.14754329,,,,
57,110.4612635,30.14754329,,114.3692933,,,,,,30.11543403,,,,
58,118.2889958,32.73451818,,114.3692933,,,,,,29.92939368,,,,
59,112.6452041,30.61528334,,114.0933825,,,,,,29.88914864,,,,
60,115.5765794,37.66287367,,114.0933825,,,,,,29.60452658,,,,
61,130.2086984,36.88815313,,113.8291446,113.6568769,,,,,29.59176832,29.56377596,,,
62,117.6685497,37.86041143,,113.4846092,,Q1,,,,29.5357836,,Q1,,
63,126.0481035,43.3909885,,113.4612635,,,LF,94.39007388,,29.3784363,,,LF,17.68507935
64,125.3123415,40.72283115,,113.1853528,,,,,,29.36334142,,,,
65,128.128401,40.15948186,,112.6452041,,,LLF,75.12327085,,29.34727902,,,LLF,5.806382735
66,126.5985128,15.71285853,,112.2889958,,,,,,28.78172789,,,,
67,132.4846092,37.97995604,,111.2889958,,,,,,28.7620589,,,,
68,133.6802225,41.57397476,,111.1853528,,,,,,28.75400008,,,,
69,133.3123415,40.47204238,,111.1853528,,,,,,28.63050247,,,,
70,158.3006687,37.14173328,,111.1853528,,,,,,28.34397592,,,,
71,164.5985128,15.82306042,,110.8408174,,,,,,28.07059654,,,,
72,133.4159845,44.01313857,,110.4612635,,,,,,27.87991549,,,,
73,133.1400738,43.35312292,,108.1853528,,,,,,16.35948352,,,,
74,124.7152409,52.99775236,,105.4612635,,,,,,16.19412154,,,,
75,121.864163,42.61869847,,105.4612635,,,,,,16.13294744,,,,
76,132.864163,42.77821864,,105.4612635,,,,,,16.04317492,,,,
77,169.5985128,16.13294744,,104.4612635,,,,,,15.84775807,,,,
78,150.5765794,37.92311321,,104.1853528,,,,,,15.82306042,,,,
79,151.5985128,15.76962542,,102.5985128,,,,,,15.76962542,,,,
80,167.9444604,39.42309899,,102.5985128,,,,,,15.75353468,,,,
81,139.8408174,34.94861469,,99.56490661,,,,,,15.71285853,,,,
